2022-12-05 08:28:56.428 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 13935 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 08:28:56.430 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 08:49:39.249 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 14295 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 08:49:39.251 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 08:51:21.445 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting AOT-processed BootApplication using Java 17.0.5 with PID 14345 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/native/nativeCompile/aria2-boot started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 08:51:21.445 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 08:51:21.463 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:114 - Tomcat initialized with port(s): 8083 (http)
2022-12-05 08:51:21.463 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8083"]
2022-12-05 08:51:21.464 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2022-12-05 08:51:21.464 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/10.1.1]
2022-12-05 08:51:21.469 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2022-12-05 08:51:21.469 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:291 - Root WebApplicationContext: initialization completed in 24 ms
2022-12-05 08:51:21.476 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2022-12-05 08:56:20.731 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 14377 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 08:56:20.733 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 08:58:02.889 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting AOT-processed BootApplication using Java 17.0.5 with PID 14426 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/native/nativeCompile/aria2-boot started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 08:58:02.889 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 08:58:02.906 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:114 - Tomcat initialized with port(s): 8083 (http)
2022-12-05 08:58:02.907 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8083"]
2022-12-05 08:58:02.907 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2022-12-05 08:58:02.907 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/10.1.1]
2022-12-05 08:58:02.913 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2022-12-05 08:58:02.913 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:291 - Root WebApplicationContext: initialization completed in 24 ms
2022-12-05 08:58:02.920 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2022-12-05 09:19:15.477 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting AOT-processed BootApplication using Java 17.0.5 with PID 14851 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/native/nativeCompile/aria2-boot started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 09:19:15.477 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 09:19:15.495 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:114 - Tomcat initialized with port(s): 8083 (http)
2022-12-05 09:19:15.495 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8083"]
2022-12-05 09:19:15.495 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2022-12-05 09:19:15.496 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/10.1.1]
2022-12-05 09:19:15.501 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2022-12-05 09:19:15.501 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:291 - Root WebApplicationContext: initialization completed in 23 ms
2022-12-05 09:19:15.509 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2022-12-05 09:33:09.386 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 15011 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 09:33:09.390 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 09:38:00.156 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 15124 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 09:38:00.159 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 09:43:07.610 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting BootApplication using Java 17.0.5 with PID 15237 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/classes/java/main started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 09:43:07.613 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 09:44:57.590 [main] INFO  icu.baidu.aria2.BootApplication:51 - Starting AOT-processed BootApplication using Java 17.0.5 with PID 15293 (/Users/admin/code-workspace/java-solution/space_1/aria2-boot/build/native/nativeCompile/aria2-boot started by admin in /Users/admin/code-workspace/java-solution/space_1/aria2-boot)
2022-12-05 09:44:57.590 [main] INFO  icu.baidu.aria2.BootApplication:630 - No active profile set, falling back to 1 default profile: "default"
2022-12-05 09:44:57.607 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:114 - Tomcat initialized with port(s): 8083 (http)
2022-12-05 09:44:57.608 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8083"]
2022-12-05 09:44:57.608 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2022-12-05 09:44:57.608 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/10.1.1]
2022-12-05 09:44:57.614 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2022-12-05 09:44:57.614 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:291 - Root WebApplicationContext: initialization completed in 24 ms
